IP 地址,已发�?已接�?丢包�?平均延迟,下载速度 (MB/s),,,
162.159.38.233,1,1,0,164.1,0
198.41.198.136,1,1,0,164.23,0
198.41.216.169,1,1,0,164.28,0
198.41.192.243,1,1,0,164.3,0
198.41.199.44,1,1,0,164.36,0
104.27.25.105,1,1,0,164.38,0
198.41.193.181,1,1,0,164.41,0
198.41.193.226,1,1,0,164.44,0
104.16.25.40,1,1,0,164.48,0
162.159.44.222,1,1,0,164.48,0
198.41.193.190,1,1,0,164.55,0
198.41.198.139,1,1,0,164.56,0
198.41.198.142,1,1,0,164.57,0
198.41.195.151,1,1,0,164.57,0
198.41.193.5,1,1,0,164.58,0
198.41.198.140,1,1,0,164.62,0
104.23.134.63,1,1,0,164.64,0
104.18.209.231,1,1,0,164.65,0
198.41.199.214,1,1,0,164.73,0
198.41.216.146,1,1,0,164.74,0
198.41.198.129,1,1,0,164.75,0
104.18.146.24,1,1,0,164.75,0
104.27.98.0,1,1,0,164.8,0
104.16.25.56,1,1,0,164.86,0
198.41.197.187,1,1,0,164.87,0
198.41.193.176,1,1,0,164.87,0
162.159.38.178,1,1,0,164.89,0
104.29.50.6,1,1,0,164.93,0
104.18.214.82,1,1,0,164.95,0
198.41.199.221,1,1,0,164.95,0
198.41.199.64,1,1,0,165,0
198.41.216.160,1,1,0,165.01,0
198.41.198.123,1,1,0,165.02,0
162.159.38.68,1,1,0,165.03,0
198.41.216.168,1,1,0,165.04,0
198.41.198.107,1,1,0,165.06,0
172.67.5.140,1,1,0,165.08,0
172.64.40.93,1,1,0,165.1,0
104.29.43.109,1,1,0,165.11,0
198.41.197.205,1,1,0,165.14,0
198.41.193.251,1,1,0,165.16,0
162.159.38.170,1,1,0,165.16,0
198.41.198.130,1,1,0,165.17,0
198.41.192.252,1,1,0,165.19,0
198.41.208.17,1,1,0,165.24,0
172.64.48.152,1,1,0,165.24,0
198.41.199.213,1,1,0,165.25,0
198.41.199.39,1,1,0,165.25,0
104.18.220.47,1,1,0,165.25,0
198.41.194.89,1,1,0,165.26,0
198.41.193.247,1,1,0,165.26,0
162.159.250.252,1,1,0,165.27,0
108.162.192.31,1,1,0,165.29,0
198.41.198.192,1,1,0,165.29,0
198.41.218.0,1,1,0,165.31,0
198.41.194.91,1,1,0,165.32,0
198.41.199.185,1,1,0,165.33,0
104.23.124.43,1,1,0,165.35,0
162.159.38.163,1,1,0,165.37,0
198.41.216.133,1,1,0,165.37,0
198.41.197.192,1,1,0,165.4,0
198.41.197.191,1,1,0,165.4,0
198.41.193.244,1,1,0,165.41,0
198.41.199.62,1,1,0,165.43,0
104.16.25.104,1,1,0,165.44,0
198.41.194.2,1,1,0,165.54,0
198.41.194.142,1,1,0,165.56,0
198.41.198.108,1,1,0,165.57,0
198.41.193.200,1,1,0,165.58,0
162.159.38.208,1,1,0,165.58,0
162.159.202.241,1,1,0,165.59,0
198.41.193.248,1,1,0,165.67,0
108.162.192.48,1,1,0,165.67,0
198.41.220.54,1,1,0,165.69,0
198.41.199.40,1,1,0,165.71,0
162.159.38.175,1,1,0,165.72,0
172.65.150.133,1,1,0,165.75,0
198.41.198.104,1,1,0,165.84,0
198.41.193.241,1,1,0,165.84,0
198.41.193.21,1,1,0,165.84,0
198.41.193.19,1,1,0,165.84,0
104.16.20.0,1,1,0,165.85,0
198.41.193.234,1,1,0,165.85,0
104.18.220.18,1,1,0,165.88,0
198.41.194.93,1,1,0,165.9,0
198.41.216.176,1,1,0,165.91,0
104.16.96.211,1,1,0,165.91,0
162.159.38.226,1,1,0,165.91,0
172.67.19.109,1,1,0,165.97,0
141.101.123.189,1,1,0,165.98,0
172.67.45.119,1,1,0,165.98,0
198.41.194.149,1,1,0,166,0
104.16.203.51,1,1,0,166,0
198.41.202.79,1,1,0,166.02,0
172.64.40.193,1,1,0,166.02,0
104.16.17.200,1,1,0,166.04,0
198.41.192.248,1,1,0,166.07,0
104.21.227.42,1,1,0,166.09,0
198.41.216.126,1,1,0,166.1,0
198.41.216.130,1,1,0,166.1,0
162.159.39.246,1,1,0,166.1,0
104.16.19.74,1,1,0,166.11,0
104.16.68.161,1,1,0,166.13,0
172.67.178.82,1,1,0,166.14,0
198.41.193.225,1,1,0,166.15,0
104.20.192.164,1,1,0,166.15,0
162.159.38.199,1,1,0,166.15,0
198.41.216.148,1,1,0,166.17,0
104.16.203.59,1,1,0,166.22,0
162.159.38.243,1,1,0,166.28,0
198.41.198.144,1,1,0,166.31,0
162.159.38.189,1,1,0,166.35,0
172.64.40.185,1,1,0,166.38,0
198.41.193.219,1,1,0,166.38,0
198.41.195.146,1,1,0,166.39,0
162.159.38.206,1,1,0,166.42,0
198.41.199.48,1,1,0,166.42,0
198.41.216.183,1,1,0,166.43,0
172.64.40.103,1,1,0,166.44,0
104.16.25.43,1,1,0,166.45,0
198.41.216.147,1,1,0,166.46,0
172.64.40.91,1,1,0,166.47,0
108.162.192.0,1,1,0,166.48,0
198.41.198.149,1,1,0,166.5,0
198.41.197.176,1,1,0,166.55,0
104.20.247.49,1,1,0,166.55,0
198.41.193.217,1,1,0,166.55,0
198.41.193.236,1,1,0,166.57,0
198.41.197.197,1,1,0,166.59,0
162.159.38.218,1,1,0,166.6,0
162.159.38.194,1,1,0,166.6,0
162.159.38.193,1,1,0,166.6,0
104.20.192.213,1,1,0,166.61,0
104.18.209.12,1,1,0,166.64,0
198.41.199.3,1,1,0,166.69,0
198.41.221.19,1,1,0,166.7,0
198.41.199.51,1,1,0,166.71,0
198.41.193.214,1,1,0,166.71,0
198.41.198.143,1,1,0,166.72,0
198.41.199.6,1,1,0,166.73,0
198.41.193.189,1,1,0,166.74,0
198.41.195.152,1,1,0,166.77,0
198.41.193.175,1,1,0,166.78,0
198.41.193.177,1,1,0,166.78,0
104.16.25.107,1,1,0,166.79,0
104.21.210.160,1,1,0,166.8,0
162.159.44.196,1,1,0,166.85,0
198.41.197.177,1,1,0,166.9,0
198.41.194.4,1,1,0,166.91,0
198.41.197.175,1,1,0,166.94,0
198.41.199.212,1,1,0,166.98,0
104.23.124.79,1,1,0,166.98,0
162.159.7.63,1,1,0,166.98,0
198.41.199.217,1,1,0,167,0
198.41.199.43,1,1,0,167.01,0
198.41.199.11,1,1,0,167.02,0
198.41.193.208,1,1,0,167.06,0
104.27.97.195,1,1,0,167.06,0
162.159.38.239,1,1,0,167.11,0
162.159.36.133,1,1,0,167.11,0
104.29.50.122,1,1,0,167.13,0
198.41.197.204,1,1,0,167.13,0
172.65.149.112,1,1,0,167.13,0
198.41.194.166,1,1,0,167.19,0
104.16.25.83,1,1,0,167.23,0
172.67.177.117,1,1,0,167.23,0
172.67.49.173,1,1,0,167.29,0
198.41.197.219,1,1,0,167.3,0
198.41.193.3,1,1,0,167.3,0
162.159.38.231,1,1,0,167.31,0
198.41.193.0,1,1,0,167.33,0
198.41.199.35,1,1,0,167.34,0
104.23.128.206,1,1,0,167.35,0
104.17.17.160,1,1,0,167.36,0
162.159.44.223,1,1,0,167.43,0
198.41.194.141,1,1,0,167.43,0
198.41.192.244,1,1,0,167.49,0
104.27.98.84,1,1,0,167.51,0
172.67.178.32,1,1,0,167.55,0
104.22.51.84,1,1,0,167.57,0
104.27.97.212,1,1,0,167.63,0
198.41.221.116,1,1,0,167.66,0
198.41.198.109,1,1,0,167.67,0
104.29.43.167,1,1,0,167.67,0
104.29.43.174,1,1,0,167.67,0
162.159.38.177,1,1,0,167.68,0
162.159.38.185,1,1,0,167.68,0
162.159.38.167,1,1,0,167.7,0
104.27.127.193,1,1,0,167.7,0
172.67.25.6,1,1,0,167.75,0
172.67.4.149,1,1,0,167.76,0
162.159.40.200,1,1,0,167.8,0
198.41.219.244,1,1,0,167.82,0
104.25.255.160,1,1,0,167.85,0
198.41.193.221,1,1,0,167.85,0
162.159.38.227,1,1,0,167.88,0
162.159.24.228,1,1,0,167.91,0
104.18.182.67,1,1,0,167.93,0
198.41.195.49,1,1,0,167.96,0
108.162.192.17,1,1,0,167.96,0
198.41.193.212,1,1,0,168,0
162.159.44.204,1,1,0,168.01,0
104.24.19.128,1,1,0,168.02,0
162.159.38.197,1,1,0,168.04,0
162.159.38.195,1,1,0,168.04,0
104.16.203.57,1,1,0,168.05,0
198.41.193.193,1,1,0,168.06,0
198.41.193.194,1,1,0,168.06,0
108.162.192.51,1,1,0,168.07,0
108.162.192.54,1,1,0,168.07,0
172.64.40.86,1,1,0,168.11,0
198.41.197.218,1,1,0,168.12,0
198.41.194.162,1,1,0,168.15,0
198.41.198.132,1,1,0,168.16,0
198.41.194.7,1,1,0,168.2,0
162.159.38.69,1,1,0,168.24,0
104.23.143.134,1,1,0,168.34,0
104.16.24.244,1,1,0,168.34,0
104.16.202.194,1,1,0,168.37,0
198.41.197.210,1,1,0,168.41,0
162.159.38.186,1,1,0,168.44,0
198.41.194.127,1,1,0,168.44,0
108.162.192.8,1,1,0,168.47,0
162.159.251.1,1,1,0,168.5,0
172.67.25.53,1,1,0,168.51,0
162.159.38.220,1,1,0,168.53,0
198.41.195.34,1,1,0,168.57,0
104.24.33.117,1,1,0,168.59,0
198.41.195.31,1,1,0,168.6,0
198.41.216.150,1,1,0,168.62,0
172.64.40.115,1,1,0,168.66,0
162.159.38.168,1,1,0,168.68,0
198.41.199.36,1,1,0,168.69,0
172.65.157.1,1,1,0,168.73,0
172.67.22.138,1,1,0,168.76,0
162.159.44.203,1,1,0,168.79,0
104.16.24.247,1,1,0,168.8,0
172.64.35.33,1,1,0,168.8,0
104.29.43.59,1,1,0,168.81,0
198.41.193.229,1,1,0,168.89,0
104.18.220.43,1,1,0,168.91,0
162.159.38.191,1,1,0,168.93,0
198.41.199.220,1,1,0,168.96,0
172.65.39.234,1,1,0,168.96,0
104.16.25.92,1,1,0,168.97,0
104.23.121.252,1,1,0,168.97,0
198.41.216.186,1,1,0,169.04,0
104.20.251.118,1,1,0,169.09,0
198.41.198.237,1,1,0,169.1,0
198.41.193.2,1,1,0,169.11,0
104.18.182.105,1,1,0,169.14,0
188.114.98.211,1,1,0,169.18,0
198.41.194.101,1,1,0,169.18,0
198.41.198.238,1,1,0,169.19,0
198.41.221.154,1,1,0,169.21,0
198.41.197.186,1,1,0,169.24,0
198.41.193.207,1,1,0,169.27,0
172.64.35.218,1,1,0,169.28,0
162.159.44.252,1,1,0,169.3,0
198.41.192.245,1,1,0,169.31,0
162.159.36.140,1,1,0,169.31,0
162.159.38.184,1,1,0,169.31,0
104.29.43.58,1,1,0,169.32,0
104.29.43.164,1,1,0,169.35,0
198.41.194.169,1,1,0,169.36,0
141.101.123.211,1,1,0,169.36,0
198.41.193.10,1,1,0,169.4,0
198.41.199.218,1,1,0,169.48,0
104.20.174.4,1,1,0,169.51,0
104.21.227.196,1,1,0,169.53,0
198.41.193.199,1,1,0,169.54,0
104.23.129.18,1,1,0,169.55,0
104.18.140.240,1,1,0,169.56,0
162.159.27.137,1,1,0,169.58,0
104.23.128.240,1,1,0,169.58,0
104.25.255.94,1,1,0,169.61,0
198.41.194.138,1,1,0,169.63,0
104.29.44.159,1,1,0,169.64,0
162.159.45.163,1,1,0,169.64,0
162.159.38.180,1,1,0,169.65,0
104.24.1.232,1,1,0,169.66,0
198.41.194.164,1,1,0,169.68,0
162.159.45.35,1,1,0,169.7,0
162.159.39.150,1,1,0,169.7,0
172.64.40.82,1,1,0,169.76,0
198.41.192.251,1,1,0,169.78,0
104.29.79.115,1,1,0,169.8,0
104.29.43.160,1,1,0,169.85,0
162.159.44.197,1,1,0,169.88,0
104.24.2.212,1,1,0,169.9,0
104.27.97.234,1,1,0,169.9,0
104.29.79.101,1,1,0,169.9,0
104.27.127.50,1,1,0,169.95,0
172.64.40.68,1,1,0,169.96,0
104.29.43.184,1,1,0,169.99,0
104.29.43.100,1,1,0,170,0
162.159.251.111,1,1,0,170.05,0
162.159.6.170,1,1,0,170.08,0
198.41.218.154,1,1,0,170.09,0
172.65.156.166,1,1,0,170.11,0
104.29.43.78,1,1,0,170.11,0
104.29.43.193,1,1,0,170.12,0
198.41.194.168,1,1,0,170.17,0
104.20.210.37,1,1,0,170.21,0
162.159.44.191,1,1,0,170.23,0
162.159.44.194,1,1,0,170.23,0
162.159.44.193,1,1,0,170.23,0
198.41.193.174,1,1,0,170.32,0
172.67.49.189,1,1,0,170.32,0
198.41.198.254,1,1,0,170.32,0
162.159.44.190,1,1,0,170.35,0
162.159.45.47,1,1,0,170.38,0
162.159.6.244,1,1,0,170.38,0
162.159.7.10,1,1,0,170.38,0
162.159.38.244,1,1,0,170.41,0
172.64.41.186,1,1,0,170.43,0
162.159.38.237,1,1,0,170.49,0
104.23.97.204,1,1,0,170.5,0
104.24.44.27,1,1,0,170.51,0
172.67.176.137,1,1,0,170.53,0
198.41.195.150,1,1,0,170.56,0
162.159.6.162,1,1,0,170.58,0
162.159.6.160,1,1,0,170.61,0
104.16.96.161,1,1,0,170.61,0
104.19.133.152,1,1,0,170.63,0
162.159.38.221,1,1,0,170.63,0
188.114.98.197,1,1,0,170.64,0
104.16.174.252,1,1,0,170.64,0
104.20.234.205,1,1,0,170.65,0
198.41.194.125,1,1,0,170.68,0
198.41.194.148,1,1,0,170.72,0
198.41.216.149,1,1,0,170.74,0
172.65.156.196,1,1,0,170.78,0
198.41.199.2,1,1,0,170.81,0
108.162.192.53,1,1,0,170.84,0
162.159.44.187,1,1,0,170.86,0
162.159.44.188,1,1,0,170.86,0
162.159.39.166,1,1,0,170.91,0
162.159.38.198,1,1,0,170.93,0
104.20.234.201,1,1,0,170.94,0
104.27.192.7,1,1,0,170.94,0
104.18.182.68,1,1,0,170.96,0
198.41.194.173,1,1,0,170.97,0
172.67.12.58,1,1,0,170.97,0
198.41.193.196,1,1,0,170.97,0
198.41.199.38,1,1,0,170.98,0
198.41.195.145,1,1,0,171.01,0
172.64.40.22,1,1,0,171.02,0
162.159.38.232,1,1,0,171.03,0
104.24.1.211,1,1,0,171.08,0
162.159.202.235,1,1,0,171.09,0
198.41.192.254,1,1,0,171.12,0
108.162.192.60,1,1,0,171.13,0
108.162.192.61,1,1,0,171.13,0
104.23.143.104,1,1,0,171.21,0
198.41.198.124,1,1,0,171.24,0
198.41.216.172,1,1,0,171.27,0
104.29.44.167,1,1,0,171.27,0
198.41.198.122,1,1,0,171.27,0
104.27.49.244,1,1,0,171.3,0
104.23.113.19,1,1,0,171.36,0
104.23.98.157,1,1,0,171.38,0
198.41.198.112,1,1,0,171.43,0
198.41.221.169,1,1,0,171.46,0
198.41.208.5,1,1,0,171.46,0
172.67.25.123,1,1,0,171.46,0
104.18.182.74,1,1,0,171.47,0
104.29.44.35,1,1,0,171.52,0
104.19.241.149,1,1,0,171.52,0
162.159.44.211,1,1,0,171.56,0
104.29.43.178,1,1,0,171.57,0
104.16.64.12,1,1,0,171.58,0
188.114.98.220,1,1,0,171.58,0
198.41.193.23,1,1,0,171.61,0
198.41.193.223,1,1,0,171.61,0
104.24.54.187,1,1,0,171.62,0
104.29.43.189,1,1,0,171.62,0
162.159.38.200,1,1,0,171.63,0
172.64.38.58,1,1,0,171.64,0
198.41.193.233,1,1,0,171.64,0
104.20.130.234,1,1,0,171.67,0
104.29.44.177,1,1,0,171.71,0
162.159.38.113,1,1,0,171.72,0
104.16.97.51,1,1,0,171.73,0
172.67.55.239,1,1,0,171.81,0
162.159.38.212,1,1,0,171.82,0
162.159.38.72,1,1,0,171.83,0
162.159.7.94,1,1,0,171.87,0
198.41.221.76,1,1,0,171.91,0
104.16.140.189,1,1,0,171.93,0
162.159.38.176,1,1,0,171.96,0
162.159.38.160,1,1,0,171.96,0
104.24.54.205,1,1,0,171.97,0
104.29.43.223,1,1,0,171.99,0
162.159.39.115,1,1,0,172.01,0
104.18.182.242,1,1,0,172.01,0
172.67.178.56,1,1,0,172.02,0
162.159.58.252,1,1,0,172.03,0
198.41.216.144,1,1,0,172.04,0
108.162.192.52,1,1,0,172.05,0
172.67.45.115,1,1,0,172.09,0
172.67.44.17,1,1,0,172.09,0
104.20.251.103,1,1,0,172.1,0
104.27.97.189,1,1,0,172.11,0
108.162.192.36,1,1,0,172.12,0
172.64.40.126,1,1,0,172.12,0
162.159.38.136,1,1,0,172.13,0
162.159.202.234,1,1,0,172.17,0
104.29.44.180,1,1,0,172.18,0
162.159.7.91,1,1,0,172.18,0
141.101.123.200,1,1,0,172.19,0
198.41.194.122,1,1,0,172.21,0
198.41.197.169,1,1,0,172.22,0
172.65.150.130,1,1,0,172.22,0
162.159.40.202,1,1,0,172.23,0
172.65.40.66,1,1,0,172.26,0
198.41.193.178,1,1,0,172.28,0
198.41.198.114,1,1,0,172.28,0
172.67.49.187,1,1,0,172.3,0
104.16.25.82,1,1,0,172.32,0
198.41.194.124,1,1,0,172.37,0
198.41.222.48,1,1,0,172.39,0
198.41.193.238,1,1,0,172.41,0
162.159.44.251,1,1,0,172.41,0
198.41.217.30,1,1,0,172.42,0
104.23.133.254,1,1,0,172.43,0
198.41.197.179,1,1,0,172.43,0
162.159.38.210,1,1,0,172.44,0
172.67.53.216,1,1,0,172.44,0
198.41.199.1,1,1,0,172.47,0
104.20.210.140,1,1,0,172.48,0
104.23.134.67,1,1,0,172.49,0
104.29.43.165,1,1,0,172.49,0
162.159.244.33,1,1,0,172.53,0
108.162.192.34,1,1,0,172.55,0
104.24.55.64,1,1,0,172.57,0
198.41.199.14,1,1,0,172.59,0
172.67.2.95,1,1,0,172.6,0
104.23.128.148,1,1,0,172.62,0
104.25.255.62,1,1,0,172.62,0
172.67.25.127,1,1,0,172.63,0
104.27.108.127,1,1,0,172.64,0
162.159.6.190,1,1,0,172.66,0
198.41.199.45,1,1,0,172.67,0
198.41.194.96,1,1,0,172.69,0
198.41.193.222,1,1,0,172.71,0
104.20.209.91,1,1,0,172.71,0
162.159.44.254,1,1,0,172.72,0
198.41.193.38,1,1,0,172.74,0
198.41.197.184,1,1,0,172.76,0
162.159.251.115,1,1,0,172.8,0
172.65.155.138,1,1,0,172.81,0
172.65.215.103,1,1,0,172.88,0
104.23.98.14,1,1,0,172.89,0
104.29.43.98,1,1,0,172.92,0
104.18.209.35,1,1,0,172.93,0
104.29.44.137,1,1,0,172.96,0
104.18.220.22,1,1,0,172.98,0
104.29.44.19,1,1,0,173.01,0
198.41.197.182,1,1,0,173.01,0
104.25.255.93,1,1,0,173.01,0
198.41.199.7,1,1,0,173.03,0
162.159.38.196,1,1,0,173.04,0
104.23.97.243,1,1,0,173.04,0
104.18.82.190,1,1,0,173.1,0
198.41.195.148,1,1,0,173.1,0
162.159.45.41,1,1,0,173.12,0
162.159.39.151,1,1,0,173.14,0
198.41.216.171,1,1,0,173.16,0
104.27.25.125,1,1,0,173.18,0
104.29.43.80,1,1,0,173.18,0
108.162.192.25,1,1,0,173.19,0
162.159.39.118,1,1,0,173.2,0
198.41.216.167,1,1,0,173.21,0
198.41.193.255,1,1,0,173.22,0
104.25.255.95,1,1,0,173.22,0
104.20.193.16,1,1,0,173.23,0
104.24.33.56,1,1,0,173.25,0
172.67.55.162,1,1,0,173.25,0
198.41.194.0,1,1,0,173.28,0
172.65.207.156,1,1,0,173.29,0
198.41.198.148,1,1,0,173.33,0
172.67.5.207,1,1,0,173.34,0
162.159.45.68,1,1,0,173.36,0
198.41.193.220,1,1,0,173.36,0
104.23.129.47,1,1,0,173.37,0
172.64.35.76,1,1,0,173.4,0
198.41.198.106,1,1,0,173.42,0
198.41.193.7,1,1,0,173.44,0
162.159.24.216,1,1,0,173.47,0
162.159.38.181,1,1,0,173.48,0
198.41.199.219,1,1,0,173.49,0
198.41.216.131,1,1,0,173.5,0
162.159.38.223,1,1,0,173.5,0
104.16.177.149,1,1,0,173.52,0
198.41.198.111,1,1,0,173.53,0
162.159.202.229,1,1,0,173.54,0
162.159.7.97,1,1,0,173.58,0
162.159.38.66,1,1,0,173.58,0
198.41.193.25,1,1,0,173.62,0
104.21.232.99,1,1,0,173.64,0
162.159.39.167,1,1,0,173.64,0
162.159.39.144,1,1,0,173.64,0
172.67.12.67,1,1,0,173.64,0
104.29.78.59,1,1,0,173.66,0
198.41.216.170,1,1,0,173.68,0
162.159.38.169,1,1,0,173.7,0
198.41.194.120,1,1,0,173.7,0
104.20.210.116,1,1,0,173.7,0
162.159.45.37,1,1,0,173.71,0
104.16.220.122,1,1,0,173.72,0
104.29.44.41,1,1,0,173.73,0
104.29.43.190,1,1,0,173.74,0
198.41.192.242,1,1,0,173.75,0
198.41.193.197,1,1,0,173.75,0
104.29.44.186,1,1,0,173.77,0
198.41.193.1,1,1,0,173.77,0
162.159.38.190,1,1,0,173.78,0
104.16.20.20,1,1,0,173.79,0
104.16.68.168,1,1,0,173.79,0
104.20.193.80,1,1,0,173.8,0
104.29.43.162,1,1,0,173.81,0
172.67.12.140,1,1,0,173.86,0
198.41.194.3,1,1,0,173.88,0
104.16.34.166,1,1,0,173.91,0
198.41.197.185,1,1,0,173.91,0
162.159.38.164,1,1,0,173.97,0
172.65.214.139,1,1,0,174.04,0
162.159.38.182,1,1,0,174.05,0
162.159.7.101,1,1,0,174.05,0
104.16.25.71,1,1,0,174.06,0
162.159.44.224,1,1,0,174.07,0
162.159.38.242,1,1,0,174.09,0
198.41.198.255,1,1,0,174.13,0
198.41.198.252,1,1,0,174.16,0
198.41.198.253,1,1,0,174.16,0
198.41.208.10,1,1,0,174.16,0
162.159.38.222,1,1,0,174.17,0
198.41.199.66,1,1,0,174.18,0
162.159.44.239,1,1,0,174.18,0
104.17.18.57,1,1,0,174.19,0
104.20.210.69,1,1,0,174.21,0
198.41.216.153,1,1,0,174.22,0
104.27.126.116,1,1,0,174.24,0
198.41.216.145,1,1,0,174.25,0
198.41.192.249,1,1,0,174.27,0
162.159.18.13,1,1,0,174.28,0
172.67.5.221,1,1,0,174.28,0
104.16.97.75,1,1,0,174.29,0
172.65.214.43,1,1,0,174.29,0
198.41.212.202,1,1,0,174.3,0
198.41.216.157,1,1,0,174.34,0
108.162.192.59,1,1,0,174.37,0
104.22.57.126,1,1,0,174.39,0
198.41.192.241,1,1,0,174.44,0
162.159.34.15,1,1,0,174.46,0
198.41.220.249,1,1,0,174.47,0
198.41.216.174,1,1,0,174.48,0
198.41.221.131,1,1,0,174.48,0
104.29.44.175,1,1,0,174.49,0
104.16.19.35,1,1,0,174.5,0
162.159.44.199,1,1,0,174.51,0
198.41.197.201,1,1,0,174.52,0
104.16.18.169,1,1,0,174.55,0
162.159.6.205,1,1,0,174.56,0
172.65.98.237,1,1,0,174.57,0
104.20.217.137,1,1,0,174.58,0
104.25.253.51,1,1,0,174.58,0
104.29.43.172,1,1,0,174.63,0
198.41.198.250,1,1,0,174.66,0
198.41.198.251,1,1,0,174.66,0
198.41.221.22,1,1,0,174.67,0
198.41.197.212,1,1,0,174.7,0
172.64.48.156,1,1,0,174.7,0
172.64.40.212,1,1,0,174.71,0
172.67.19.89,1,1,0,174.71,0
198.41.198.115,1,1,0,174.74,0
198.41.198.246,1,1,0,174.74,0
172.67.61.71,1,1,0,174.76,0
198.41.199.9,1,1,0,174.77,0
172.65.99.100,1,1,0,174.77,0
162.159.38.187,1,1,0,174.77,0
198.41.217.45,1,1,0,174.77,0
104.20.239.151,1,1,0,174.8,0
162.159.244.250,1,1,0,174.81,0
104.29.44.151,1,1,0,174.81,0
198.41.198.138,1,1,0,174.82,0
104.26.10.254,1,1,0,174.82,0
104.19.24.171,1,1,0,174.85,0
188.114.98.244,1,1,0,174.87,0
104.21.232.96,1,1,0,174.87,0
198.41.198.125,1,1,0,174.87,0
162.159.6.242,1,1,0,174.89,0
162.159.6.238,1,1,0,174.89,0
